,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5600,37428313,https://www.airbnb.com/rooms/37428313,20250319150644,2025-03-21,city scrape,"Cuarto en el departamento, Room in the apartment","a room available in Coyoacán in a sharing  apartment, México City inside a residencial complex with security guard and cameras, with Metro Station just outside the complex, Which connect you to all the tourístic places, 20 minutes from downtown Zócalo, 10 minutes from Coyoacán Center,The new Cineteca at walking distance .Bed is good for two people also has single individual Mattress , ventilator, Matrimonial bed,closet, Dressing table,side tables,lamp,bathroom is shared but the room has its door",The room is inside a  residential complex and the department is on the first floor..complex has security guards and cameras,https://a0.muscache.com/pictures/72ff1407-8237-4245-86a1-f0b61063bdd9.jpg,109048853,https://www.airbnb.com/users/show/109048853,Baber,2016-12-29,"Mexico City, Mexico","Me llamo Baber, Soy extranjero llevo 13 ańos en México, Vivo con 2 gatos Siamés, Nena y Belo, trabajo de home office",within a few hours,100%,85%,f,https://a0.muscache.com/im/pictures/user/efadb367-ea7b-460a-a8ba-826c7a053909.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/efadb367-ea7b-460a-a8ba-826c7a053909.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Iztapalapa,,19.35822,-99.12234,Private room in condo,Private room,3,1.0,1 shared bath,1.0,1.0,"[""Wine glasses"", ""Hangers"", ""Cooking basics"", ""Microwave"", ""Gas stove"", ""Extra pillows and blankets"", ""Host greets you"", ""Wifi"", ""Toaster"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hot water"", ""Iron"", ""Dining table"", ""Clothing storage: closet"", ""Cleaning products"", ""Bidet"", ""Backyard"", ""Shampoo"", ""Washer"", ""Refrigerator"", ""Laundromat nearby"", ""Blender"", ""Oven"", ""Drying rack for clothing"", ""Coffee maker"", ""Dishes and silverware"", ""Smoking allowed"", ""Portable fans"", ""First aid kit"", ""TV""]",$360.00,1,14,1,1,14,14,1.0,14.0,,t,20,50,80,260,2025-03-21,23,14,2,260,13,84,30240.0,2023-10-15,2025-03-09,4.83,4.87,4.65,4.87,4.91,4.87,4.87,,f,1,0,1,0,1.32
5800,38729634,https://www.airbnb.com/rooms/38729634,20250319150644,2025-03-21,city scrape,Departamento  NUEVO en Santa Fe,Modern and comfortable apartment with all the services...in a privileged place in Sta Fe...has a swimming pool...gym and interior gardens,It has a Patio Sta Fe shopping center on the other side of the avenue...,https://a0.muscache.com/pictures/7b9dfe82-44f4-49e4-a6eb-a028d653fc61.jpg,62035163,https://www.airbnb.com/users/show/62035163,Claudia,2016-03-07,"Naucalpan, Mexico",Soy una persona sociable y adaptable...me gusta viajar y conocer otras culturas...disfruto mucho la comida...la musica y la buena compañia,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/e7bfd9d0-1890-4df4-a139-56e8e231dfbc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e7bfd9d0-1890-4df4-a139-56e8e231dfbc.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Álvaro Obregón,,19.37728,-99.2569,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,3.0,"[""Hair dryer"", ""Hangers"", ""Free parking on premises"", ""Gym"", ""Air conditioning"", ""Wifi"", ""Elevator"", ""HDTV with Netflix"", ""Fire extinguisher"", ""Kitchen"", ""Hot water"", ""Iron"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Smoking allowed"", ""First aid kit"", ""Private entrance"", ""Shared pool"", ""Heating""]","$1,634.00",6,90,6,6,90,90,6.0,90.0,,t,19,49,79,354,2025-03-21,4,1,0,275,1,12,19608.0,2020-11-12,2024-07-21,5.0,5.0,4.75,4.75,5.0,5.0,5.0,,f,1,1,0,0,0.08
6000,39447571,https://www.airbnb.com/rooms/39447571,20250319150644,2025-03-20,city scrape,Luminous and spacious apartment in Condesa,Luminous and spacious apartment in a the heart of condesa with a great view. 24 hour security on-site,,https://a0.muscache.com/pictures/2655d1ce-969f-4ef2-acf1-e6dfda8dd6b9.jpg,222792497,https://www.airbnb.com/users/show/222792497,Ana Laura,2018-10-26,"Ciudad de Mexico, Mexico","Hi! I’m Laura, I grew up in this beautiful neighborhood. I enjoy taking long walks rediscovering La Condesa and nearby neighborhoods. If you visit Mexico City we invite you to stay in our place, remember this: mi casa es tu casa. ",within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/e1dfcac5-26ac-43e0-96c8-c0749a91d985.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e1dfcac5-26ac-43e0-96c8-c0749a91d985.jpg?aki_policy=profile_x_medium,,2.0,4.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.41305,-99.17582,Entire condo,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Free washer \u2013 In unit"", ""Hair dryer"", ""Wifi"", ""Elevator"", ""Fire extinguisher"", ""Kitchen"", ""Hot water"", ""Patio or balcony"", ""Iron"", ""Body soap"", ""TV with Netflix"", ""Free dryer \u2013 In unit"", ""City skyline view"", ""Shampoo"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Essentials"", ""First aid kit""]","$3,225.00",5,45,5,5,45,45,5.0,45.0,,t,8,36,66,156,2025-03-20,15,4,0,156,4,40,129000.0,2021-10-31,2025-01-16,5.0,5.0,5.0,5.0,5.0,5.0,4.93,,f,2,2,0,0,0.36
6200,40383821,https://www.airbnb.com/rooms/40383821,20250319150644,2025-03-21,city scrape,Habitación exterior cerca a feria de exposiciones,"Large and very comfortable private room with double bed, rack for clothes, writing and light. It is in a cute 2nd floor apartment with an excellent location. It's a themed room, where you'll feel like you're in a slice of London. With smartv and cable payments. Access to common areas, kitchenette, and shared bathroom depending, one bathroom for men and one for women. Guesthouse.","Quiet, San Pedro de los Pinos is a mixed colony where you can find offices and a room house.",https://a0.muscache.com/pictures/miso/Hosting-40383821/original/569cefda-baa4-4aab-b3b8-b6c905ca95ab.jpeg,309418028,https://www.airbnb.com/users/show/309418028,Lina,2019-11-14,"Mexico City, Mexico",Estoy completamente en desacuerdo sobre el exagerado costo al huesped en el cobro final. El huésped paga un 40% adicional de lo que recibe el Anfitrion.,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/b449deac-c732-4d00-9862-e44c2c95c116.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b449deac-c732-4d00-9862-e44c2c95c116.jpg?aki_policy=profile_x_medium,San Pedro De Los Pinos,6.0,6.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Benito Juárez,,19.38938,-99.18598,Private room in rental unit,Private room,2,2.0,2 shared baths,1.0,1.0,"[""Kitchenette"", ""Hangers"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Wifi"", ""Clothing storage"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Hot water"", ""Iron"", ""Dining table"", ""Free street parking"", ""Tauros  stove"", ""Hot water kettle"", ""City skyline view"", ""Refrigerator"", ""Freezer"", ""Outdoor dining area"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Blender"", ""Coffee maker"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""First aid kit"", ""TV""]",$449.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,28,58,88,88,2025-03-21,2,0,0,88,0,0,0.0,2020-03-08,2020-03-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,6,0,6,0,0.03
6400,41125474,https://www.airbnb.com/rooms/41125474,20250319150644,2025-03-21,city scrape,"Habitación centro de Coyoacán, cerca de la UNAM.3","14m2 bedroom in four bedroom house, in downtown Coyoacan, near UNAM, with kitchen and shared common area. Bathroom shared with another bedroom. Electron surveillance at the entrances and security gate. Kitchen with refrigerator, electric stove, microwave and coffee maker (equipped). Washer and drying area. Energyable house. Preferable for longer stays.","Located in the same center of Coyoacan, a short walk away from Quevedo's M.A.. Close to CU (UNAM) both on foot and in public transport. Very safe neighborhood. House located in front of the Public Ministry.",https://a0.muscache.com/pictures/269a8f42-2f18-42c0-92c6-5d930cabf15d.jpg,321843014,https://www.airbnb.com/users/show/321843014,Karen Maria,2019-12-28,"Mexico City, Mexico",,within a few hours,100%,,f,https://a0.muscache.com/im/pictures/user/b01fd910-9659-4f2c-b12e-69c94249bfd4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b01fd910-9659-4f2c-b12e-69c94249bfd4.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Coyoacán,,19.34408,-99.16747,Private room in home,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Hangers"", ""Cooking basics"", ""Microwave"", ""Wifi"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Kitchen"", ""Hot water"", ""Free street parking"", ""Backyard"", ""Washer"", ""Stove"", ""Refrigerator"", ""Exterior security cameras on property"", ""Coffee maker"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""First aid kit""]",$260.00,10,365,10,10,1125,1125,10.0,1125.0,,t,0,0,0,232,2025-03-21,12,0,0,153,0,0,0.0,2020-03-03,2023-09-19,4.75,4.92,4.92,4.92,4.92,4.83,4.75,,t,1,0,1,0,0.2
6600,41924238,https://www.airbnb.com/rooms/41924238,20250319150644,2025-03-22,city scrape,"Cozy house in Coyoacan center, Casa Aguacate","Welcome to Aguacate 96-B a charming house in the heart of the legendary Callejon del Aguacate, one of the most iconic alleys in Mexico City. <br />This  cozy colonial style house has  a one master bedroom with a terrace, bathroom, and a beautiful living and sitting room area with a lovely terrace to enjoy your morning coffee or just relax in  the hammock.<br />The house is just round the corner from  Francisco Sosa street, known for its beautiful colonial houses and cosy restaurants.","Located in the legendary Callejon del Aguacate, this charming house sits in the heart of Coyoacan, one of the most beautiful neighbourhoods in Mexico City. <br />The house is just a few minute walk from downtown Coyoacan, where you have a  a number of delicious restaurants to choose from, local markets, and historic sites to visit.<br />It's also a walking distance from los Viveros, a huge park where local residents go for a jog, stroll, meditation, karate among other recreational activities.<br /><br />To note is that Coyoacan is surrounded by a  great variety of trees, plants, and flowers which some people might be allergic to. Although very beautiful, in the winter months  all this vegetation can make the house pretty chilly.",https://a0.muscache.com/pictures/e6f18b44-0d43-417f-a9f0-713e3dafb9ed.jpg,331691695,https://www.airbnb.com/users/show/331691695,Myfanwy,2020-01-29,"Mexico City, Mexico",,within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/7c292e2c-0d67-471c-a7fb-78feca8082cb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7c292e2c-0d67-471c-a7fb-78feca8082cb.jpg?aki_policy=profile_x_medium,,1.0,3.0,"['email', 'phone']",t,t,"Santa Catarina, Ciudad de México, Mexico",Coyoacán,,19.34931,-99.17232,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Hangers"", ""Indoor fireplace: wood-burning"", ""Cooking basics"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Clothing storage"", ""Toaster"", ""Coffee"", ""Lockbox"", ""Kitchen"", ""Cleaning available during stay"", ""Outdoor furniture"", ""Hammock"", ""Hot water"", ""Books and reading material"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Cleaning products"", ""Private backyard \u2013 Fully fenced"", ""Free street parking"", ""Body soap"", ""HDTV with Apple TV, Amazon Prime Video, Netflix"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Shampoo"", ""Shower gel"", ""Stove"", ""Refrigerator"", ""Freezer"", ""Private patio or balcony"", ""Dedicated workspace"", ""Laundromat nearby"", ""Blender"", ""Oven"", ""Conditioner"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""First aid kit"", ""Private entrance""]","$2,099.00",3,1125,3,3,1125,1125,3.0,1125.0,,t,9,34,64,236,2025-03-22,102,25,1,236,30,150,314850.0,2020-07-06,2025-03-04,4.91,4.94,4.9,4.89,4.94,4.94,4.81,,f,1,1,0,0,1.78
6800,42558385,https://www.airbnb.com/rooms/42558385,20250319150644,2025-03-21,city scrape,"Suite ""Teporingo"" - en el Bosque del Ajusco",Cozy and beautiful cabin type room for 2 people!<br />**Complimentary breakfast included**<br />Unique rustic decor in each space. <br />Spectacular mountain view.<br />Panoramic view of CDMX. <br />BEST rates on FB and IG - Posada Rancho El Paraiso.<br />**EYE: Pets allowed only upon request and with additional fee **,We don't have neighbors or nearby road. You can enjoy absolute tranquility in the middle of the forest.,https://a0.muscache.com/pictures/miso/Hosting-42558385/original/47eb4afe-2fec-4ec0-93b5-f1e325ce6823.jpeg,128993582,https://www.airbnb.com/users/show/128993582,Abraham,2017-05-05,"Mexico City, Mexico",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-128993582/original/f225a2cc-87ae-4ba2-be90-28ff5a8fdaf0.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-128993582/original/f225a2cc-87ae-4ba2-be90-28ff5a8fdaf0.jpeg?aki_policy=profile_x_medium,,8.0,8.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Tlalpan,,19.21461,-99.22908,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,"[""Children\u2019s books and toys"", ""Hangers"", ""Free parking on premises"", ""Resort access"", ""Pets allowed"", ""Extra pillows and blankets"", ""Host greets you"", ""Wifi"", ""Fire extinguisher"", ""Outdoor furniture"", ""Breakfast"", ""Luggage dropoff allowed"", ""Hot water"", ""Books and reading material"", ""Room-darkening shades"", ""Garden view"", ""Private living room"", ""Body soap"", ""Fire pit"", ""Exercise equipment: stationary bike"", ""City skyline view"", ""Shampoo"", ""Mountain view"", ""Shower gel"", ""Outdoor dining area"", ""Dedicated workspace"", ""Clothing storage: wardrobe"", ""Game console"", ""Conditioner"", ""Long term stays allowed"", ""Essentials"", ""Bed linens"", ""First aid kit"", ""Private entrance"", ""Single level home""]","$1,564.00",1,1125,1,1,1125,1125,1.0,1125.0,,t,29,59,89,364,2025-03-21,4,3,0,285,3,18,28152.0,2020-12-03,2024-11-17,4.5,4.25,5.0,3.75,4.0,4.5,4.5,,t,8,1,7,0,0.08
7000,43341901,https://www.airbnb.com/rooms/43341901,20250319150644,2025-03-21,city scrape,Segura y Moderno Cerca Del Centro y El Aeropuerto,"Very  well  secure complex, 10 Minute from the airport, walking distance from a major hospital Raza, 15 minute drive to Zocalo the downtown of Mexico City and Polanco. Fast internet speed to work . Office space to with proper desk and table . 3 Bedrooms ( Two bedroom with queen and one with two Twin Beds)","Very well Guarded  24/7 complex , Price club, 7/11, oxxo store,  pharmacy s  are  2 minutes  .",https://a0.muscache.com/pictures/9ebc816e-4c0e-40dc-a9d7-21385545989c.jpg,40235618,https://www.airbnb.com/users/show/40235618,Jasjit,2015-08-01,United States,,within an hour,83%,95%,f,https://a0.muscache.com/im/pictures/user/9d013e88-2bf9-4799-8ef4-a78147b4fc05.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9d013e88-2bf9-4799-8ef4-a78147b4fc05.jpg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Azcapotzalco,,19.46413,-99.15562,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Gym"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Toaster"", ""Fire extinguisher"", ""Kitchen"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Garden view"", ""Cleaning products"", ""Free parking garage on premises"", ""Body soap"", ""Ethernet connection"", ""Hot water kettle"", ""City skyline view"", ""Shampoo"", ""Washer"", ""Shower gel"", ""Stove"", ""Refrigerator"", ""Freezer"", ""Outdoor dining area"", ""Oven"", ""Conditioner"", ""Coffee maker"", ""Private pool"", ""Carbon monoxide alarm"", ""Dryer"", ""Dishes and silverware"", ""Keypad"", ""Essentials"", ""Portable fans"", ""BBQ grill"", ""Private entrance"", ""TV"", ""Heating""]","$3,011.00",4,120,4,4,1125,1125,4.0,1125.0,,t,27,57,87,362,2025-03-21,42,4,0,283,9,32,96352.0,2020-06-19,2024-12-24,4.69,4.76,4.48,4.79,4.83,4.83,4.67,,t,1,1,0,0,0.73
7200,44167791,https://www.airbnb.com/rooms/44167791,20250319150644,2025-03-22,city scrape,Shakespeare CDMX,"Excellent Location,  stylish loft. Walking distance to: <br />Polanco<br />La Roma <br />Condesa<br />Reforma",,https://a0.muscache.com/pictures/hosting/Hosting-44167791/original/bce1dbfa-bb8d-48c8-820a-237151695ca3.jpeg,1222665,https://www.airbnb.com/users/show/1222665,Pablo,2011-09-28,"Mexico City, Mexico","Mexico City.
Traveling, Food, Art, Design...

",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/144322cb-f7b3-4eb4-bd25-d6a4899f2fc1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/144322cb-f7b3-4eb4-bd25-d6a4899f2fc1.jpg?aki_policy=profile_x_medium,,1.0,1.0,['phone'],t,t,,Miguel Hidalgo,,19.42737,-99.17683,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Portable heater"", ""Hangers"", ""Pets allowed"", ""Smoke alarm"", ""Wifi"", ""Bikes"", ""Elevator"", ""Clothing storage"", ""Fire extinguisher"", ""Kitchen"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Shampoo"", ""Washer"", ""Stove"", ""Laundromat nearby"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Smoking allowed"", ""First aid kit"", ""TV""]","$1,193.00",2,90,2,2,90,90,2.0,90.0,,t,3,29,59,149,2025-03-22,0,0,0,149,0,0,0.0,,,,,,,,,,,f,1,1,0,0,
7400,45000404,https://www.airbnb.com/rooms/45000404,20250319150644,2025-03-20,city scrape,Departamento con excelente ubicación en Reforma,"Our exclusive Department is located in one of the best Colonies in CDMX, not to mention it has a few minutes away the National Auditorium, Museum of Anthropology, Chapultepec Castle and Torre Mayor. We are surrounded by places to eat and shopping just around the corner.","The Cuauhtémoc Colony is one of the best colonies in the CDMX, in addition to being merely touristy, it is the financial heart of Mexico City. Full of restaurants, shopping centers, parks and monuments, the Cuauhtémoc is the best option to stay.",https://a0.muscache.com/pictures/miso/Hosting-45000404/original/7a061078-9005-4c76-be91-1f0000880c58.jpeg,305504937,https://www.airbnb.com/users/show/305504937,David,2019-10-30,,"Desinfecto las superficies de contacto frecuente, incluidos los pomos de las puertas.
Utilizo productos y desinfectantes homologados por las autoridades sanitarias internacionales, y me pongo equipos de protección personal mientras limpio para evitar la contaminación cruzada.
Limpio todas las habitaciones siguiendo las listas de tareas específicas para cada una de ellas.
Cumplo con las leyes locales, incluidas todas las directrices de seguridad o limpieza.",,,100%,f,https://a0.muscache.com/im/pictures/user/6647a88e-9a84-42d3-84bd-1a55e6a70eaf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6647a88e-9a84-42d3-84bd-1a55e6a70eaf.jpg?aki_policy=profile_x_medium,,6.0,6.0,['email'],t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.4273,-99.16842,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hangers"", ""Microwave"", ""Gym"", ""Mini fridge"", ""Air conditioning"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""Luggage dropoff allowed"", ""Iron"", ""TV with standard cable"", ""Paid street parking off premises"", ""Crib"", ""Exterior security cameras on property"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""First aid kit"", ""Noise decibel monitors on property""]","$1,607.00",1,1125,1,1,999,999,1.0,999.0,,t,0,0,0,0,2025-03-20,16,0,0,0,0,0,0.0,2020-08-23,2022-06-27,4.56,4.75,4.5,5.0,4.63,5.0,4.88,,t,6,6,0,0,0.29
7600,45533108,https://www.airbnb.com/rooms/45533108,20250319150644,2025-03-20,city scrape,LOFT 5 CONDESA,"SMALL LOFT OF A BEDROOM ON A SECOND FLOOR, WITH FULL KITCHEN AND BATHROOM.<br />IT HAS COMPLETELY INDEPENDIETE ENTRANCE, INSIDE A BUILDING IN THE CONDESA.<br />A FEW BLOCKS FROM THE CHAPULTEPEC METRO; CLOSE TO RESTAURANTS, PARKS AND SHOPS.",,https://a0.muscache.com/pictures/2d4e611c-06e1-4970-8668-4fde5bd3929c.jpg,10459452,https://www.airbnb.com/users/show/10459452,Julieta,2013-12-05,"Ciudad de México, Mexico",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/764aec4e-2609-4ad4-8204-44f51fa36942.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/764aec4e-2609-4ad4-8204-44f51fa36942.jpg?aki_policy=profile_x_medium,Condesa,7.0,7.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.416824,-99.178436,Entire loft,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Hangers"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Paid parking off premises"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Iron"", ""Paid parking on premises"", ""Shampoo"", ""Stove"", ""Refrigerator"", ""Laundromat nearby"", ""Oven"", ""Coffee maker"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Private entrance""]",$690.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,18,42,72,347,2025-03-20,83,13,2,269,9,78,53820.0,2020-09-27,2025-02-28,4.64,4.8,4.8,4.76,4.71,4.75,4.7,,t,7,7,0,0,1.52
7800,46141792,https://www.airbnb.com/rooms/46141792,20250319150644,2025-03-19,city scrape,HG ⛑️ Habitaciones - Rooms - Médicos y estudiantes,"Only long stays, students/doctors (internal, residents, etc.), price per person/room<br /><br />$ Special long term price,question<br /><br />New, ideal for General Hospital and Medical Center Siglo XXI (1 street).<br /><br />Do not waste time on transfers, get enough rest. Perfect for studying and resting during internship and residence. Get up, walk 100 meters and arrive at the hospital.<br /><br />Metro and metrobus 1 street away.",Ideal for students and workers at nearby hospitals. Close to Roma colony and Delta Park,https://a0.muscache.com/pictures/45aaffc0-22e4-4219-9680-aa6a7a53f47b.jpg,71554821,https://www.airbnb.com/users/show/71554821,Ed,2016-05-11,Mexico,,a few days or more,47%,0%,f,https://a0.muscache.com/im/pictures/user/4f25acf8-0f22-4973-9e03-cd267b618178.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4f25acf8-0f22-4973-9e03-cd267b618178.jpg?aki_policy=profile_x_medium,Coapa,6.0,7.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.41566,-99.15419,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Hangers"", ""Cooking basics"", ""Microwave"", ""Free parking on premises"", ""Paid parking off premises"", ""Wifi"", ""Lock on bedroom door"", ""Kitchen"", ""Window guards"", ""Luggage dropoff allowed"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Free street parking"", ""Washer"", ""Stove"", ""Refrigerator"", ""Freezer"", ""Laundromat nearby"", ""Long term stays allowed"", ""Smoking allowed"", ""Bed linens""]",$704.00,1,999,1,1,999,999,1.0,999.0,,t,30,60,90,365,2025-03-19,0,0,0,288,0,0,0.0,,,,,,,,,,,f,5,1,4,0,
8000,46867703,https://www.airbnb.com/rooms/46867703,20250319150644,2025-03-22,city scrape,Renta en Col Del Valle,"Perfect location, all the necessary amenities within walking distance. <br />Walking distance to supers, hospitals, park churches, schools, etc. <br />With exit to the main roads <br /><br />It has a service room and cage for tending.",,https://a0.muscache.com/pictures/997be4ff-213f-4207-8be2-f875f2d9ca64.jpg,108014318,https://www.airbnb.com/users/show/108014318,Marta Patricia,2016-12-21,,,a few days or more,0%,,f,https://a0.muscache.com/im/pictures/user/3c084223-b2c5-4fd6-902e-f877c5dde47e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3c084223-b2c5-4fd6-902e-f877c5dde47e.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Benito Juárez,,19.38439,-99.16405,Private room in rental unit,Private room,3,2.0,2 baths,3.0,,"[""Wifi"", ""Kitchen""]",$500.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,30,60,90,365,2025-03-22,0,0,0,285,0,0,0.0,,,,,,,,,,,f,1,0,1,0,
